hour,tech,dispatch,zone,period
35,charge,-1e-10,hl,2021 week 1
36,charge,-1e-10,hl,2021 week 1
37,charge,-1e-10,hl,2021 week 1
38,charge,-1e-10,hl,2021 week 1
39,charge,-1e-10,hl,2021 week 1
40,charge,-1e-10,hl,2021 week 1
41,charge,-1e-10,hl,2021 week 1
42,charge,-1e-10,hl,2021 week 1
43,charge,-1e-10,hl,2021 week 1
44,charge,-1e-10,hl,2021 week 1
45,charge,-1e-10,hl,2021 week 1
46,charge,-1e-10,hl,2021 week 1
47,charge,-1e-10,hl,2021 week 1
48,charge,-1e-10,hl,2021 week 1
49,charge,-1e-10,hl,2021 week 1
50,charge,-1e-10,hl,2021 week 1
51,charge,-1e-10,hl,2021 week 1
52,charge,-1e-10,hl,2021 week 1
53,charge,-1e-10,hl,2021 week 1
54,charge,-1e-10,hl,2021 week 1
55,charge,-1e-10,hl,2021 week 1
56,charge,-1e-10,hl,2021 week 1
57,charge,-1e-10,hl,2021 week 1
58,charge,-1e-10,hl,2021 week 1
59,charge,-1e-10,hl,2021 week 1
60,charge,-1e-10,hl,2021 week 1
61,charge,-1e-10,hl,2021 week 1
62,charge,-1e-10,hl,2021 week 1
63,charge,-1e-10,hl,2021 week 1
64,charge,-1e-10,hl,2021 week 1
65,charge,-1e-10,hl,2021 week 1
66,charge,-1e-10,hl,2021 week 1
67,charge,-1e-10,hl,2021 week 1
68,charge,-1e-10,hl,2021 week 1
69,charge,-1e-10,hl,2021 week 1
70,charge,-1e-10,hl,2021 week 1
71,charge,-1e-10,hl,2021 week 1
72,charge,-1e-10,hl,2021 week 1
73,charge,-1e-10,hl,2021 week 1
74,charge,-1e-10,hl,2021 week 1
75,charge,-1e-10,hl,2021 week 1
76,charge,-1e-10,hl,2021 week 1
77,charge,-1e-10,hl,2021 week 1
78,charge,-1e-10,hl,2021 week 1
79,charge,-1e-10,hl,2021 week 1
80,charge,-1e-10,hl,2021 week 1
81,charge,-1e-10,hl,2021 week 1
82,charge,-1e-10,hl,2021 week 1
83,charge,-1e-10,hl,2021 week 1
84,charge,-1e-10,hl,2021 week 1
85,charge,-1e-10,hl,2021 week 1
86,charge,-1e-10,hl,2021 week 1
87,charge,-1e-10,hl,2021 week 1
88,charge,-1e-10,hl,2021 week 1
89,charge,-1e-10,hl,2021 week 1
90,charge,-1e-10,hl,2021 week 1
91,charge,-1e-10,hl,2021 week 1
92,charge,-1e-10,hl,2021 week 1
93,charge,-1e-10,hl,2021 week 1
94,charge,-1e-10,hl,2021 week 1
95,charge,-1e-10,hl,2021 week 1
96,charge,-1e-10,hl,2021 week 1
97,charge,-1e-10,hl,2021 week 1
98,charge,-1e-10,hl,2021 week 1
99,charge,-1e-10,hl,2021 week 1
100,charge,-1e-10,hl,2021 week 1
101,charge,-1e-10,hl,2021 week 1
102,charge,-1e-10,hl,2021 week 1
103,charge,-1e-10,hl,2021 week 1
104,charge,-1e-10,hl,2021 week 1
105,charge,-1e-10,hl,2021 week 1
106,charge,-1e-10,hl,2021 week 1
107,charge,-1e-10,hl,2021 week 1
108,charge,-1e-10,hl,2021 week 1
109,charge,-1e-10,hl,2021 week 1
110,charge,-1e-10,hl,2021 week 1
111,charge,-1e-10,hl,2021 week 1
112,charge,-1e-10,hl,2021 week 1
113,charge,-1e-10,hl,2021 week 1
114,charge,-1e-10,hl,2021 week 1
115,charge,-1e-10,hl,2021 week 1
116,charge,-1e-10,hl,2021 week 1
117,charge,-1e-10,hl,2021 week 1
118,charge,-1e-10,hl,2021 week 1
119,charge,-1e-10,hl,2021 week 1
120,charge,-1e-10,hl,2021 week 1
121,charge,-1e-10,hl,2021 week 1
122,charge,-1e-10,hl,2021 week 1
123,charge,-1e-10,hl,2021 week 1
124,charge,-1e-10,hl,2021 week 1
125,charge,-1e-10,hl,2021 week 1
126,charge,-1e-10,hl,2021 week 1
127,charge,-1e-10,hl,2021 week 1
128,charge,-1e-10,hl,2021 week 1
129,charge,-1e-10,hl,2021 week 1
130,charge,-1e-10,hl,2021 week 1
131,charge,-1e-10,hl,2021 week 1
132,charge,-1e-10,hl,2021 week 1
133,charge,-1e-10,hl,2021 week 1
134,charge,-1e-10,hl,2021 week 1
135,charge,-1e-10,hl,2021 week 1
136,charge,-1e-10,hl,2021 week 1
137,charge,-1e-10,hl,2021 week 1
138,charge,-1e-10,hl,2021 week 1
139,charge,-1e-10,hl,2021 week 1
140,charge,-1e-10,hl,2021 week 1
141,charge,-1e-10,hl,2021 week 1
142,charge,-1e-10,hl,2021 week 1
143,charge,-1e-10,hl,2021 week 1
144,charge,-1e-10,hl,2021 week 1
145,charge,-1e-10,hl,2021 week 1
146,charge,-1e-10,hl,2021 week 1
147,charge,-1e-10,hl,2021 week 1
148,charge,-1e-10,hl,2021 week 1
149,charge,-1e-10,hl,2021 week 1
150,charge,-1e-10,hl,2021 week 1
151,charge,-1e-10,hl,2021 week 1
152,charge,-1e-10,hl,2021 week 1
153,charge,-1e-10,hl,2021 week 1
154,charge,-1e-10,hl,2021 week 1
155,charge,-1e-10,hl,2021 week 1
156,charge,-1e-10,hl,2021 week 1
157,charge,-1e-10,hl,2021 week 1
158,charge,-1e-10,hl,2021 week 1
159,charge,-1e-10,hl,2021 week 1
160,charge,-1e-10,hl,2021 week 1
161,charge,-1e-10,hl,2021 week 1
162,charge,-1e-10,hl,2021 week 1
163,charge,-1e-10,hl,2021 week 1
164,charge,-1e-10,hl,2021 week 1
165,charge,-1e-10,hl,2021 week 1
166,charge,-1e-10,hl,2021 week 1
167,charge,-1e-10,hl,2021 week 1
168,charge,-1e-10,hl,2021 week 1
1,nuclear,0.0,hl,2021 week 1
2,nuclear,0.0,hl,2021 week 1
3,nuclear,0.0,hl,2021 week 1
4,nuclear,0.0,hl,2021 week 1
5,nuclear,0.0,hl,2021 week 1
6,nuclear,0.0,hl,2021 week 1
7,nuclear,0.0,hl,2021 week 1
8,nuclear,0.0,hl,2021 week 1
9,nuclear,0.0,hl,2021 week 1
10,nuclear,0.0,hl,2021 week 1
11,nuclear,0.0,hl,2021 week 1
12,nuclear,0.0,hl,2021 week 1
13,nuclear,0.0,hl,2021 week 1
14,nuclear,0.0,hl,2021 week 1
15,nuclear,0.0,hl,2021 week 1
16,nuclear,0.0,hl,2021 week 1
17,nuclear,0.0,hl,2021 week 1
18,nuclear,0.0,hl,2021 week 1
19,nuclear,0.0,hl,2021 week 1
20,nuclear,0.0,hl,2021 week 1
21,nuclear,0.0,hl,2021 week 1
22,nuclear,0.0,hl,2021 week 1
23,nuclear,0.0,hl,2021 week 1
24,nuclear,0.0,hl,2021 week 1
25,nuclear,0.0,hl,2021 week 1
26,nuclear,0.0,hl,2021 week 1
27,nuclear,0.0,hl,2021 week 1
28,nuclear,0.0,hl,2021 week 1
29,nuclear,0.0,hl,2021 week 1
30,nuclear,0.0,hl,2021 week 1
31,nuclear,0.0,hl,2021 week 1
32,nuclear,0.0,hl,2021 week 1
33,nuclear,0.0,hl,2021 week 1
34,nuclear,0.0,hl,2021 week 1
35,nuclear,0.0,hl,2021 week 1
36,nuclear,0.0,hl,2021 week 1
37,nuclear,0.0,hl,2021 week 1
38,nuclear,0.0,hl,2021 week 1
39,nuclear,0.0,hl,2021 week 1
40,nuclear,0.0,hl,2021 week 1
41,nuclear,0.0,hl,2021 week 1
42,nuclear,0.0,hl,2021 week 1
43,nuclear,0.0,hl,2021 week 1
44,nuclear,0.0,hl,2021 week 1
45,nuclear,0.0,hl,2021 week 1
46,nuclear,0.0,hl,2021 week 1
47,nuclear,0.0,hl,2021 week 1
48,nuclear,0.0,hl,2021 week 1
49,nuclear,0.0,hl,2021 week 1
50,nuclear,0.0,hl,2021 week 1
51,nuclear,0.0,hl,2021 week 1
52,nuclear,0.0,hl,2021 week 1
53,nuclear,0.0,hl,2021 week 1
54,nuclear,0.0,hl,2021 week 1
55,nuclear,0.0,hl,2021 week 1
56,nuclear,0.0,hl,2021 week 1
57,nuclear,0.0,hl,2021 week 1
58,nuclear,0.0,hl,2021 week 1
59,nuclear,0.0,hl,2021 week 1
60,nuclear,0.0,hl,2021 week 1
61,nuclear,0.0,hl,2021 week 1
62,nuclear,0.0,hl,2021 week 1
63,nuclear,0.0,hl,2021 week 1
64,nuclear,0.0,hl,2021 week 1
65,nuclear,0.0,hl,2021 week 1
66,nuclear,0.0,hl,2021 week 1
67,nuclear,0.0,hl,2021 week 1
68,nuclear,0.0,hl,2021 week 1
69,nuclear,0.0,hl,2021 week 1
70,nuclear,0.0,hl,2021 week 1
71,nuclear,0.0,hl,2021 week 1
72,nuclear,0.0,hl,2021 week 1
73,nuclear,0.0,hl,2021 week 1
74,nuclear,0.0,hl,2021 week 1
75,nuclear,0.0,hl,2021 week 1
76,nuclear,0.0,hl,2021 week 1
77,nuclear,0.0,hl,2021 week 1
78,nuclear,0.0,hl,2021 week 1
79,nuclear,0.0,hl,2021 week 1
80,nuclear,0.0,hl,2021 week 1
81,nuclear,0.0,hl,2021 week 1
82,nuclear,0.0,hl,2021 week 1
83,nuclear,0.0,hl,2021 week 1
84,nuclear,0.0,hl,2021 week 1
85,nuclear,0.0,hl,2021 week 1
86,nuclear,0.0,hl,2021 week 1
87,nuclear,0.0,hl,2021 week 1
88,nuclear,0.0,hl,2021 week 1
89,nuclear,0.0,hl,2021 week 1
90,nuclear,0.0,hl,2021 week 1
91,nuclear,0.0,hl,2021 week 1
92,nuclear,0.0,hl,2021 week 1
93,nuclear,0.0,hl,2021 week 1
94,nuclear,0.0,hl,2021 week 1
95,nuclear,0.0,hl,2021 week 1
96,nuclear,0.0,hl,2021 week 1
97,nuclear,0.0,hl,2021 week 1
98,nuclear,0.0,hl,2021 week 1
99,nuclear,0.0,hl,2021 week 1
100,nuclear,0.0,hl,2021 week 1
101,nuclear,0.0,hl,2021 week 1
102,nuclear,0.0,hl,2021 week 1
103,nuclear,0.0,hl,2021 week 1
104,nuclear,0.0,hl,2021 week 1
