HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB
-3351.40617,1652.6628,612.0454649,5478.2296,1683.5535,3942.700182,2604.192153
-3351.40617,1652.6628,612.0454649,5478.2296,1683.5535,3942.700182,2468.505548
-3351.40617,1652.6628,612.0454649,5887.0285,1809.1844,3942.700182,2468.505548
-3351.40617,1782.8254,660.2497428,5887.0285,1809.1844,3942.700182,2468.505548
-3760.791647,1782.8254,660.2497428,5887.0285,1809.1844,3377.302866,2604.192153
-3760.791647,1782.8254,660.2497428,5930.0156,1822.395,3728.601955,2763.327242
-3924.501907,1782.8254,660.2497428,5930.0156,1822.395,3728.601955,2763.327242
-3924.501907,1782.8254,660.2497428,5930.0156,1822.395,3728.601955,2763.327242
-3924.501907,1782.8254,660.2497428,5930.0156,1822.395,3728.601955,2763.327242
-3924.501907,1782.8254,660.2497428,5930.0156,1822.395,3728.601955,2763.327242
-3924.501907,1652.6628,612.0454649,5887.0285,1809.1844,3377.302866,2763.327242
-3760.791647,1652.6628,612.0454649,5478.2296,1683.5535,3377.302866,2763.327242
-3760.791647,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2763.327242
-3339.543475,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2592.412874
-3339.543475,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2455.269071
-3339.543475,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2455.269071
-3339.543475,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2455.269071
-3339.543475,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2455.269071
-3746.358432,1327.2755,491.5418457,5739.3522,1763.8009,3337.097147,2455.269071
-3908.920554,1654.4703,612.7148389,5739.3522,1763.8009,3337.097147,2592.412874
-3908.920554,1654.4703,612.7148389,5739.3522,1763.8009,3337.097147,2592.412874
-3908.920554,1654.4703,612.7148389,5777.6025,1775.5559,3337.097147,2592.412874
-3746.358432,1786.1637,661.4860576,5777.6025,1775.5559,3337.097147,2592.412874
-3746.358432,1786.1637,661.4860576,5739.3522,1763.8009,3891.911843,2592.412874
-3339.543475,1654.4703,612.7148389,5364.6871,1648.6599,3891.911843,2592.412874
-3339.543475,1654.4703,612.7148389,5364.6871,1648.6599,3891.911843,2455.269071
-3339.543475,1654.4703,612.7148389,5739.3522,1763.8009,3891.911843,2455.269071
-3339.543475,1786.1637,661.4860576,5739.3522,1763.8009,3891.911843,2455.269071
-3746.358432,1786.1637,661.4860576,5739.3522,1763.8009,3337.097147,2592.412874
-3746.358432,1786.1637,661.4860576,5777.6025,1775.5559,3681.715086,2753.094331
-3908.920554,1786.1637,661.4860576,5777.6025,1775.5559,3681.715086,2753.094331
-3908.920554,1786.1637,661.4860576,5777.6025,1775.5559,3681.715086,2753.094331
-3908.920554,1786.1637,661.4860576,5777.6025,1775.5559,3681.715086,2753.094331
-3908.920554,1786.1637,661.4860576,5777.6025,1775.5559,3681.715086,2753.094331
-3908.920554,1654.4703,612.7148389,5739.3522,1763.8009,3337.097147,2753.094331
-3746.358432,1654.4703,612.7148389,5364.6871,1648.6599,3337.097147,2753.094331
-3746.358432,1327.2755,491.5418457,5364.6871,1648.6599,3337.097147,2753.094331
-3307.450754,1315.8536,487.3118981,5282.8274,1623.503,3299.256786,2532.003522
