Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,119,10341.7934,8214.9295,8115.052,29744.2266,3098.69252,2637.867556
,,,,,120,9362.1723,7553.9834,7462.1417,28118.4399,3098.69252,2637.867556
,,,,,121,9112.7721,7207.4101,7119.782,27165.2302,3018.619254,2500.654983
,,,,,122,9023.5946,7072.2765,6986.2914,26751.8493,3018.619254,2379.671143
,,,,,123,9023.5946,7072.2765,6986.2914,26263.5027,3018.619254,2379.671143
,,,,,124,9023.5946,7072.2765,6986.2914,26263.5027,3018.619254,2379.671143
,,,,,125,9372.5312,7072.2765,6986.2914,26263.5027,3018.619254,2379.671143
,,,,,126,10961.2698,8039.665,7941.9183,26936.761,3018.619254,2379.671143
,,,,,127,11969.6534,8636.8642,8531.8568,27919.7343,3018.619254,2500.654983
,,,,,128,11782.439,8776.6609,8669.9538,27636.5821,3018.619254,2500.654983
,,,,,129,12224.5725,9354.0312,9240.3044,28763.0408,3018.619254,2500.654983
,,,,,130,12492.4638,9783.5389,9664.5901,29961.3822,3018.619254,2500.654983
,,,,,131,13190.482,10611.1294,10482.1187,30436.1316,3479.204261,2500.654983
,,,,,132,13002.4641,9701.8352,9583.8797,29731.5814,3479.204261,2500.654983
,,,,,133,11947.4931,9533.2522,9417.3464,29276.2535,3479.204261,2379.671143
,,,,,134,12095.3328,9744.7706,9626.2931,29874.6305,3479.204261,2379.671143
,,,,,135,12071.7894,9648.0303,9530.729,29945.3034,3479.204261,2379.671143
,,,,,136,12346.1113,9881.462,9761.3227,30105.2803,3018.619254,2500.654983
,,,,,137,13893.6571,10085.6142,9962.9927,29993.3734,3303.909613,2643.930159
,,,,,138,13429.2658,9900.8822,9780.5067,29257.1161,3303.909613,2643.930159
,,,,,139,12511.5408,9480.4487,9365.1849,28914.0472,3303.909613,2643.930159
,,,,,140,12890.6395,9834.9224,9715.3489,29358.3426,3303.909613,2643.930159
,,,,,141,12355.0284,9582.7312,9466.2238,29549.0581,3303.909613,2643.930159
,,,,,142,11365.2782,9047.2779,8937.2806,31185.6405,3018.619254,2643.930159
,,,,,143,10354.6054,8277.0466,8176.4138,29502.8232,3018.619254,2643.930159
,,,,,144,9386.093,7621.6822,7529.0174,28034.5306,3018.619254,2643.930159
,,,,,145,9135.791,7208.0615,7120.4255,26783.5762,2898.579714,2474.27992
,,,,,146,9046.0264,7069.6056,6983.653,26397.3613,2898.579714,2364.187966
,,,,,147,9046.0264,7069.6056,6983.653,25950.4135,2898.579714,2364.187966
,,,,,148,9046.0264,7069.6056,6983.653,25950.4135,2898.579714,2364.187966
,,,,,149,9396.3595,7069.6056,6983.653,25950.4135,2898.579714,2364.187966
,,,,,150,10990.0487,8053.0251,7955.116,26570.1212,2898.579714,2364.187966
,,,,,151,12001.5746,8659.3437,8554.0629,27488.4968,2898.579714,2474.27992
,,,,,152,11813.7767,8801.2751,8694.2687,27223.9525,2898.579714,2474.27992
,,,,,153,12257.288,9387.4619,9273.3286,28276.3841,2898.579714,2474.27992
,,,,,154,12526.014,9823.5282,9704.0933,29395.9747,2898.579714,2474.27992
,,,,,155,13226.2074,10656.5358,10526.9731,29839.5251,3312.308837,2474.27992
,,,,,156,13037.6036,9740.5769,9622.1505,29181.2755,3312.308837,2474.27992
,,,,,157,11979.3452,9569.4196,9453.0741,28755.8703,3312.308837,2364.187966
,,,,,158,12127.6456,9784.168,9665.2115,29314.9239,3312.308837,2364.187966
,,,,,159,12104.0288,9685.9504,9568.1881,29380.9525,3312.308837,2364.187966
,,,,,160,12379.2055,9922.9467,9802.303,29530.4162,2898.579714,2474.27992
,,,,,161,13930.4295,10130.2163,10007.0526,29425.8635,3154.294031,2605.996734
,,,,,162,13465.7353,9942.6634,9821.7799,28737.9905,3154.294031,2605.996734
,,,,,163,12545.1506,9515.8098,9400.1161,28417.4669,3154.294031,2605.996734
,,,,,164,12925.4306,9875.6964,9755.6272,28832.5647,3154.294031,2605.996734
,,,,,165,12388.1504,9619.6542,9502.6979,29010.747,3154.294031,2605.996734
,,,,,166,11395.316,9076.0244,8965.6776,30576.0632,2898.579714,2605.996734
,,,,,167,10381.4939,8294.0316,8193.1923,28967.5506,2898.579714,2605.996734
,,,,,168,9409.9635,7628.6596,7535.91,27595.7492,2898.579714,2605.996734
,,,,,169,9138.2869,7212.0993,7124.4142,26232.9829,2837.731298,2460.398738
,,,,,170,9045.9148,7070.463,6984.5,25828.176,2837.731298,2352.860082
,,,,,171,9045.9148,7070.463,6984.5,25352.8957,2837.731298,2352.860082
,,,,,172,9045.9148,7070.463,6984.5,25352.8957,2837.731298,2352.860082
,,,,,173,9402.4504,7070.463,6984.5,25352.8957,2837.731298,2352.860082
,,,,,174,11018.1268,8069.2286,7971.1225,26009.2524,2837.731298,2352.860082
,,,,,175,12043.6081,8684.2769,8578.693,26971.8375,2837.731298,2460.398738
,,,,,176,11853.2194,8828.2518,8720.9175,26694.5584,2837.731298,2460.398738
,,,,,177,12302.8495,9422.8785,9308.3146,27797.6527,2837.731298,2460.398738
,,,,,178,12575.283,9865.2233,9745.2814,28971.1389,2837.731298,2460.398738
,,,,,179,13285.1365,10703.4166,10573.2839,29436.0413,3205.897495,2460.398738
,,,,,180,13093.9306,9781.0777,9662.1588,28746.1044,3205.897495,2460.398738
,,,,,181,12021.072,9607.4561,9490.6481,28300.2207,3205.897495,2352.860082
,,,,,182,12171.4185,9825.2963,9705.8398,28886.1865,3205.897495,2352.860082
,,,,,183,12147.4758,9725.6646,9607.4195,28955.3936,3205.897495,2352.860082
,,,,,184,12426.4491,9966.0732,9844.9051,29112.0523,2837.731298,2460.398738
,,,,,185,13994.0088,10176.327,10052.6027,29002.4665,3064.685705,2589.406017
,,,,,186,13527.969,9986.0737,9864.6625,28281.4802,3064.685705,2589.406017
,,,,,187,12594.6835,9553.0744,9436.9276,27945.527,3064.685705,2589.406017
,,,,,188,12980.21,9918.1426,9797.5573,28380.6071,3064.685705,2589.406017
,,,,,189,12435.5173,9658.4139,9540.9863,28567.3669,3064.685705,2589.406017
,,,,,190,11428.9854,9106.957,8996.2341,30181.4563,2837.731298,2589.406017
,,,,,191,10401.1761,8313.7051,8212.6266,28522.091,2837.731298,2589.406017
,,,,,192,9416.2421,7638.7531,7545.8808,27084.2529,2837.731298,2589.406017
,,,,,193,9083.7137,7257.1984,7168.965,25953.4,2782.502991,2458.784821
,,,,,194,8998.6912,7120.5463,7033.9743,25499.3335,2782.502991,2346.050655
,,,,,195,8998.6912,7120.5463,7033.9743,24948.9853,2782.502991,2346.050655
,,,,,196,8998.6912,7120.5463,7033.9743,24948.9853,2782.502991,2346.050655
,,,,,197,9337.7443,7120.5463,7033.9743,24948.9853,2782.502991,2346.050655
,,,,,198,10891.4465,8095.2621,7996.8394,25702.4445,2782.502991,2346.050655
,,,,,199,11877.5922,8696.6295,8590.8954,26782.1635,2782.502991,2458.784821
,,,,,200,11694.5064,8837.4019,8729.9563,26471.1431,2782.502991,2458.784821
,,,,,201,12126.8896,9418.8019,9304.2876,27708.4696,2782.502991,2458.784821
