Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,96,14476.6469,15312.0347,11950.95381,42419.78244,2886.559661,2814.241598
,,,,,97,14089.00309,14370.15803,11010.38431,40097.53634,2892.268185,2592.769401
,,,,,98,13959.77233,14224.93158,10840.60427,39422.17855,2892.268185,2467.247674
,,,,,99,13959.77233,14224.93158,10840.60427,38636.03618,2892.268185,2467.247674
,,,,,100,13959.77233,14224.93158,10840.60427,38636.03618,2892.268185,2467.247674
,,,,,101,14484.16958,14236.15698,10840.60427,38636.03618,2892.268185,2467.247674
,,,,,102,16901.08701,15097.70331,12167.78349,39724.2766,2892.268185,2467.247674
,,,,,103,18435.12162,16317.79129,12998.29577,41330.20146,2892.268185,2592.769401
,,,,,104,18150.31587,16106.02241,13192.70804,40867.60392,2892.268185,2592.769401
,,,,,105,18822.92509,15995.8907,13995.64456,42707.94681,2892.268185,2592.769401
,,,,,106,19230.46291,16172.49775,14592.95172,44665.72772,2892.268185,2592.769401
,,,,,107,20292.34453,16942.07066,15847.95469,45441.34581,3254.136962,2592.769401
,,,,,108,20006.31665,17130.63129,14479.32815,44290.29241,3254.136962,2592.769401
,,,,,109,18401.40944,16342.95671,14244.88338,43546.40412,3254.136962,2467.247674
,,,,,110,18626.31528,15970.31832,14539.03749,44523.99774,3254.136962,2467.247674
,,,,,111,18590.49906,16376.41768,14404.50281,44639.45906,3254.136962,2467.247674
,,,,,112,19007.81983,16348.9957,14729.13137,44900.82003,2892.268185,2592.769401
,,,,,113,21385.87399,16694.38432,15013.0414,44717.99302,3114.997814,2741.34125
,,,,,114,20655.60178,17788.18021,14756.13854,43515.13843,3114.997814,2741.34125
,,,,,115,19259.48452,17507.42947,14171.45067,42954.65238,3114.997814,2741.34125
,,,,,116,19836.20006,17263.89469,14664.40972,43680.51646,3114.997814,2741.34125
,,,,,117,19021.38509,16999.83268,14313.69273,43992.0964,3114.997814,2741.34125
,,,,,118,17515.69719,16827.64345,13569.04928,46711.42799,2892.268185,2741.34125
,,,,,119,15978.18016,15753.10659,12497.90505,43916.56058,2892.268185,2741.34125
,,,,,120,14504.80085,14988.16313,11586.50374,41517.74914,2892.268185,2741.34125
,,,,,121,14160.43005,14109.67522,10730.84177,39311.78321,2819.817206,2550.523748
,,,,,122,14040.67262,13956.96236,10587.36593,38684.66412,2819.817206,2432.024326
,,,,,123,14040.67262,13956.96236,10587.36593,37972.03372,2819.817206,2432.024326
,,,,,124,14040.67262,13956.96236,10587.36593,37972.03372,2819.817206,2432.024326
,,,,,125,14542.53594,13970.36452,10587.36593,37972.03372,2819.817206,2432.024326
,,,,,126,16879.57217,14866.04869,11787.6209,38965.18425,2819.817206,2432.024326
,,,,,127,18362.90559,16134.48132,12545.93148,40456.40288,2819.817206,2550.523748
,,,,,128,18087.51297,15914.32133,12723.44227,40026.84724,2819.817206,2550.523748
,,,,,129,18737.89176,15799.82577,13456.57442,41735.74015,2819.817206,2550.523748
,,,,,130,19131.96028,15983.43068,14001.95389,43553.68286,2819.817206,2550.523748
,,,,,131,20158.74578,16783.49708,15214.06724,44273.90095,3075.359844,2550.523748
,,,,,132,19882.17124,16979.52921,13898.20833,43205.06373,3075.359844,2550.523748
,,,,,133,18330.30776,16160.64389,13684.14533,42514.30907,3075.359844,2432.024326
,,,,,134,18547.78014,15773.24012,13952.72676,43422.07621,3075.359844,2432.024326
,,,,,135,18513.14773,16195.43071,13829.88804,43529.29048,3075.359844,2432.024326
,,,,,136,18916.67557,16166.92217,14126.29457,43771.98325,2819.817206,2550.523748
,,,,,137,21235.38058,16525.99644,14385.52251,43602.215,2975.429086,2691.645685
,,,,,138,20509.99702,17657.49028,14150.95384,42485.27659,2975.429086,2691.645685
