region,Resource,Plant name,Plant name (other),technology,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Existing_Cap_MW,num_units,Cap_Size,Existing_Cap_MWh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,,,
HL,Fulaerji-2 power station Unit 6,华电富拉尔基发电厂,"二电厂, Huadian Fulaerji-2 power station",conventional_steam_coal,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin Pingnan cogen power station Phase II Unit 3,国能哈尔滨热电厂,"国电哈尔滨热电公司平南热电厂, 国能黑龙江公司哈热二期2×660MW热电联产, Guodian Pingnan power station (Unit 1 & 2), Guoneng Harbin cogen power station (Phase II Unit 3 & 4)",cogen_conventional_steam_coal,36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.272,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin Pingnan cogen power station Phase II Unit 4,国能哈尔滨热电厂,"国电哈尔滨热电公司平南热电厂, 国能黑龙江公司哈热二期2×660MW热电联产, Guodian Pingnan power station (Unit 1 & 2), Guoneng Harbin cogen power station (Phase II Unit 3 & 4)",cogen_conventional_steam_coal,37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.272,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin Pingnan cogen power station Unit 1,国能哈尔滨热电厂,"国电哈尔滨热电公司平南热电厂, 国能黑龙江公司哈热二期2×660MW热电联产, Guodian Pingnan power station (Unit 1 & 2), Guoneng Harbin cogen power station (Phase II Unit 3 & 4)",cogen_conventional_steam_coal,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,10.0908,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin Pingnan cogen power station Unit 2,国能哈尔滨热电厂,"国电哈尔滨热电公司平南热电厂, 国能黑龙江公司哈热二期2×660MW热电联产, Guodian Pingnan power station (Unit 1 & 2), Guoneng Harbin cogen power station (Phase II Unit 3 & 4)",cogen_conventional_steam_coal,39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,10.0908,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-1 power station Phase VI Unit 9,华电哈尔滨热电厂,Huadian Harbin-1 power station,cogen_conventional_steam_coal,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,9.5722,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-1 power station Phase V Unit 7,华电哈尔滨热电厂,Huadian Harbin-1 power station,cogen_conventional_steam_coal,41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-1 power station Phase V Unit 8,华电哈尔滨热电厂,Huadian Harbin-1 power station,cogen_conventional_steam_coal,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-3 power station Unit 1,"华电哈尔滨第三发电厂 660MW“上大压小”热电联产机组, 华电哈尔滨第三发电厂",Huadian Harbin-3 power station,cogen_conventional_steam_coal,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,1,220,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-3 power station Unit 2,"华电哈尔滨第三发电厂 660MW“上大压小”热电联产机组, 华电哈尔滨第三发电厂",Huadian Harbin-3 power station,cogen_conventional_steam_coal,44,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,1,220,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
